warning: alerta
warning: alerta
warning: alerta
warning: alerta
info: usuario autenticado
fatal: el sistema se cayo
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
error: This is an error message
